Name,n_poem,url,poem_url,first_poem_url
Ezra Pound,250,https://www.poemhunter.com/ezra-pound/poems/,https://www.poemhunter.com/poem/a-girl/,https://www.poemhunter.com/poem/greek/
Alexander Pope,81,https://www.poemhunter.com/alexander-pope/poems/,https://www.poemhunter.com/poem/ode-on-solitude/,https://www.poemhunter.com/poem/an-essay-on-criticism/
Mirabai,59,https://www.poemhunter.com/mirabai/poems/,https://www.poemhunter.com/poem/i-am-mad-with-love/,https://www.poemhunter.com/poem/a-cowherding-girl/
Kamala Das,22,https://www.poemhunter.com/kamala-das/poems/,https://www.poemhunter.com/poem/an-introduction-2/,https://www.poemhunter.com/poem/a-losing-battle-5/
Jacques Prevert,29,https://www.poemhunter.com/jacques-prevert/poems/,https://www.poemhunter.com/poem/paris-at-night/,https://www.poemhunter.com/poem/barbara-6/
Mary Oliver,92,https://www.poemhunter.com/mary-oliver/poems/,https://www.poemhunter.com/poem/a-dream-of-trees/,https://www.poemhunter.com/poem/a-dream-of-trees/
Ted Hughes,29,https://www.poemhunter.com/ted-hughes/poems/,https://www.poemhunter.com/poem/lovesong/,https://www.poemhunter.com/poem/a-woman-unconscious/
Keki Daruwalla,25,https://www.poemhunter.com/keki-daruwalla/poems/,https://www.poemhunter.com/poem/migrations-3/,https://www.poemhunter.com/poem/a-take-off-on-a-passing-remark/
Charles Dickens,10,https://www.poemhunter.com/charles-dickens/poems/,https://www.poemhunter.com/poem/lucy-s-song/,https://www.poemhunter.com/poem/a-child-s-hymn/
Donald Bruce Dawe,4,https://www.poemhunter.com/donald-bruce-dawe/poems/,https://www.poemhunter.com/poem/homecoming-36/,https://www.poemhunter.com/poem/enter-without-so-much-as-knocking/
Jack Davis,2,https://www.poemhunter.com/jack-davis/poems/,https://www.poemhunter.com/poem/aboriginal-australia/,https://www.poemhunter.com/poem/aboriginal-australia/
Nissim Ezekiel,12,https://www.poemhunter.com/nissim-ezekiel/poems/,https://www.poemhunter.com/poem/night-of-the-scorpion/,https://www.poemhunter.com/poem/goodbye-party-for-miss-pushpa-t-s/
